Region,Office PBI,Project Title,Transparency Portal,Country TRANSPARENCY,Budget,Expenses from TP,EXPENSES without minos
RBLAC,Panama,Beyond Recovery COVID19 Energy,https://open.undp.org/projects/00133871,PAN,350000,269189,269189
RBLAC,Panama,Apoyo a la modernizaciÃ³n de la gestiÃ³n ambiental,https://open.undp.org/projects/00082182,PAN,2876714,1832734,1832734
RBLAC,Panama,Responsabilidad SocioAmbiental Cuenca Canal,https://open.undp.org/projects/00099142,PAN,5287238,3650197,3650197
RBLAC,Uruguay,URU/14/001 Fortalecimiento de la DirecciÃ³n Nacional de M,https://open.undp.org/projects/00079810,URY,9931619,5830724,5830724
RBLAC,Panama,ProtecciÃ³n de Sumideros de Carbono,https://open.undp.org/projects/00075063,PAN,5295448,3157550,3157550
RBLAC,Mexico,Impulso a modelos de Adapt y RRD en contextos de CC,https://open.undp.org/projects/00126578,MEX,106044,74381,74381
RBLAC,Ecuador,CAF Vuln climÃ¡tica,https://open.undp.org/projects/00121247,ECU,2290214,1606375,1606375
RBLAC,Chile,ReducciÃ³n Vulnerabilidad ClimÃ¡tica,https://open.undp.org/projects/00125286,CHL,2028268,1806958,1806958
RBLAC,Mexico,"Puebla Resiliente ante Desastres, Fase 1",https://open.undp.org/projects/00128418,MEX,311456,199311,199311
RBLAC,Paraguay,Maquila y Registro Industrial,https://open.undp.org/projects/00111751,PRY,435921,266137,266137
RBLAC,Bolivia,Accelerator Lab - Bolivia,https://open.undp.org/projects/00130654,BOL,434392,306047,306047
RBLAC,Brazil,Desenvolvimento SustentÃ¡vel no Oeste do ParanÃ¡,https://open.undp.org/projects/00097580,BRA,356252,341320,341320
RBLAC,Colombia,Corredores de Paz,https://open.undp.org/projects/00139182,COL,4704774,421164,421164
RBLAC,Mexico,FSP - Env. Sound Mngmnt and Destruction of PCBs Phase 2,https://open.undp.org/projects/00084933,MEX,2382891,798176,798176
RBLAC,Uruguay,URU/17/G61 Segunda Etapa del Plan de EliminaciÃ³n del Con,https://open.undp.org/projects/00084526,URY,1609390,815607,815607
RBLAC,Chile,Capacidades EnergÃ­as Renovables No Convencionales,https://open.undp.org/projects/00080690,CHL,1518828,885374,885374
RBLAC,Mexico,Implementacion de la Agenda 2030 a nivel subnacional,https://open.undp.org/projects/00112833,MEX,1949487,1392125,1392125
RBLAC,Colombia,REINCORPORACION AMBIENTAL,https://open.undp.org/projects/00089718,COL,3204602,1665594,1665594
RBLAC,Colombia,Desarrollo Rural de Colombia - Korea International Cooperation Agency (KOIKA),https://open.undp.org/projects/00077562,COL,7954989,7144140,7144140
RBLAC,Uruguay,URU/17/G31 CreaciÃ³n de capacidades institucionales y tÃ©c,https://open.undp.org/projects/00098657,URY,25000,24960,24960
RBLAC,Costa Rica,ImplementaciÃ³n de iniciativas con INCOP,https://open.undp.org/projects/00120078,CRI,227797,188402,188402
RBLAC,Cuba,OTOZ X Fortalecimiento institucional CUBAENERGIA - OZONO,https://open.undp.org/projects/00094875,CUB,220167,190804,190804
RBLAC,Dominican Republic,Plataforma para la gestiÃ³n de plÃ¡sticos y residuos,https://open.undp.org/projects/00124384,DOM,269737,207832,207832
RBLAC,Dominican Republic,Plataforma Rescate Ozama,https://open.undp.org/projects/00127940,DOM,571228,224840,224840
RBLAC,Panama,Fortalecimiento del Instituto Nacional de la Mujer,https://open.undp.org/projects/00099417,PAN,1432993,293038,293038
RBLAC,Uruguay,Proyecto Regional URU-ARG - AdaptaciÃ³n al CC Rio Uruguay,https://open.undp.org/projects/00131001,URY,873112,580987,580987
