Region,Office PBI,Project Title,Transparency Portal,Country TRANSPARENCY,Budget,Expenses from TP,EXPENSES without minos
RBAP,Philippines,UNDP Programme on Early Recovery,https://open.undp.org/projects/00115529,PHL,573636,534106,534106
RBA,Comoros,Preparatory assistance for the formulation of a resilien,https://open.undp.org/projects/00095583,COM,610080.00,552222.00,552222
RBAP,Philippines,Support Recovery & Building-Resilience for Typhoon Rai,https://open.undp.org/projects/00141807,PHL,950000,552318,552318
RBLAC,Ecuador,Manejo integrado cuencas binacionales Colombia - Ecuador,https://open.undp.org/projects/00085035,ECU,809641,566885,566885
RBA,Ghana,WASH in Disaster Prone Communities in Northern Ghana,https://open.undp.org/projects/00084102,GHA,584689,578917,578917
RBEC,Montenegro,Supporting Montenegroâ€™s NAP,https://open.undp.org/projects/00100486,MNE,843163,588391,588391
RBAP,Philippines,BD Corridor Management,https://open.undp.org/projects/00096757,PHL,954314,598257,598257
RBAS,Djibouti,PIMS 5921 Sustaniable water resources management,https://open.undp.org/projects/00106642,DJI,783280,614154,614154
RBAP,Maldives,Eliminating POPs through sound management of chemicals,https://open.undp.org/projects/00097168,MDV,1008745.00,622684.00,622684
RBA,Ethiopia,Acc. Tech capacity of MoWIE-Climate Resilient WASH,https://open.undp.org/projects/00114791,ETH,670221,624079,624079
RBEC,Tajikistan,Leveraging Nationally Determined Contributions (NDCs) to,https://open.undp.org/projects/00142399,TJK,970546,626418,626418
